SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,shared name,G1,G2
9927814,interacts with,GOT1 (interacts with) HINT1,0.698932738,0.014086488,0.534313725,FALSE,interacts with,GOT1 (interacts with) HINT1,HINT1,GOT1
9927815,interacts with,GLMN (interacts with) TRIM8,0.197267262,0.048015873,-0.785714286,FALSE,interacts with,GLMN (interacts with) TRIM8,TRIM8,GLMN
9927816,interacts with,MDH2 (interacts with) IKBKB,0.409830053,0.2,-0.714285714,FALSE,interacts with,MDH2 (interacts with) IKBKB,IKBKB,MDH2
9927817,interacts with,DNM1L (interacts with) NELL1,0.144518824,0.023809524,-0.857142857,FALSE,interacts with,DNM1L (interacts with) NELL1,NELL1,DNM1L
9927818,interacts with,DNM1L (interacts with) UBE2V2,0.168425923,0.034126984,0.821428571,FALSE,interacts with,DNM1L (interacts with) UBE2V2,UBE2V2,DNM1L
9927819,interacts with,PUF60 (interacts with) RUVBL2,0.614809278,0.007471415,-0.678571429,FALSE,interacts with,PUF60 (interacts with) RUVBL2,RUVBL2,PUF60
9927820,interacts with,BCAS2 (interacts with) SNAP25,0.846554538,0.116753544,0.697802198,FALSE,interacts with,BCAS2 (interacts with) SNAP25,SNAP25,BCAS2
9927821,interacts with,BCAS2 (interacts with) PCMT1,0.109507431,0.012301587,0.620879121,FALSE,interacts with,BCAS2 (interacts with) PCMT1,PCMT1,BCAS2
9927822,interacts with,BCAS2 (interacts with) PPP2R2B,0.109507431,0.012301587,0.620879121,FALSE,interacts with,BCAS2 (interacts with) PPP2R2B,PPP2R2B,BCAS2
9927823,interacts with,BCAS2 (interacts with) ZC3H15,0.168425923,0.034126984,0.718137255,FALSE,interacts with,BCAS2 (interacts with) ZC3H15,ZC3H15,BCAS2
9927824,interacts with,BCAS2 (interacts with) U2AF2,0.071858659,0.002777778,-0.821428571,FALSE,interacts with,BCAS2 (interacts with) U2AF2,U2AF2,BCAS2
9927825,interacts with,BCAS2 (interacts with) RASA1,0.745690873,0.025076273,0.857142857,FALSE,interacts with,BCAS2 (interacts with) RASA1,RASA1,BCAS2
