"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","C9","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","DEGPPI","Degree","Eccentricity","GRN","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","OG_Gene_GRN","OG_Gene_VCP","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","VCP"
"16571","false","3.09391081","0.00101699","false","NA","","","0.32321552","0.0","false","false","2","6","false","false","","DNAJA3","DNAJA3","452.5","2","0","false","false","false","0","0.70086988","false","0","DNAJA3","283530","0.52622378","true"
"16572","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","FLJ13052","FLJ13052","475.0","1","0","false","false","false","0","0.65627297","false","0","FLJ13052","0","0.0","true"
"16573","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","EURL","EURL","475.0","1","0","false","false","false","0","0.65627297","false","0","EURL","0","0.0","true"
"16574","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","GSTK1","GSTK1","475.0","1","0","false","false","false","0","0.65627297","false","0","GSTK1","0","0.0","true"
"16575","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","TBC1D10A","TBC1D10A","283.0","1","0","false","false","false","0","0.61179858","false","0","TBC1D10A","0","0.0","true"
"16576","false","3.1170669","0.00155169","false","NA","","","0.32081442","0.0","false","false","5","5","false","false","","TYW1","TYW1","10.8","5","0","false","false","true","0","0.69756187","false","0","TYW1","37768","0.22272727","true"
"16577","false","3.06689537","0.01051846","false","NA","","","0.32606264","0.0","false","false","22","5","false","false","","ERO1A","ERO1A","3.68181818","22","0","false","false","false","0","0.70472923","false","0","ERO1A","260590","0.05959596","true"
"16578","false","4.11320755","0.0","false","NA","","","0.24311927","0.0","false","false","2","6","false","false","","P8","P8","9.0","2","0","false","false","false","1","0.55525606","false","0","P8","0","0.0","true"
"16579","false","3.19511149","0.0","false","NA","","","0.31297812","1.0","false","false","2","6","false","false","","CAD","CAD","314.0","2","0","false","false","false","0","0.68641264","false","0","CAD","0","0.51140065","true"
"16580","false","4.13765009","0.0","false","NA","","","0.24168308","0.0","false","false","1","6","false","false","","CDC5L","CDC5L","80.0","1","0","false","false","false","0","0.55176427","false","0","CDC5L","0","0.0","true"
"16581","false","3.64150943","0.00105069","false","NA","","","0.2746114","0.0","false","false","2","5","false","false","","ZNF8","ZNF8","156.0","2","0","false","false","false","0","0.62264151","false","0","ZNF8","48002","0.50653595","true"
"16582","false","3.97212693","4.682E-5","false","NA","","","0.25175429","0.0","false","false","3","6","false","false","","MPP6","MPP6","31.0","3","0","false","false","false","1","0.57541044","false","0","MPP6","1512","0.50847458","true"
"16583","false","4.04888508","0.0","false","NA","","","0.24698157","0.0","false","false","1","6","false","false","","TBCB","TBCB","24.0","1","0","false","false","false","0","0.56444499","false","0","TBCB","0","0.0","true"
"16584","false","3.85548885","0.0","false","NA","","","0.25937048","0.0","false","false","1","6","false","false","","ZNF568","ZNF568","145.0","1","0","false","false","false","0","0.59207302","false","0","ZNF568","0","0.0","true"
