"Gene.symbol","Cell.type","SUID","name","selected","DEG","ALSOD"
"C9orf74",NA,42192,"C9orf74","false",FALSE,FALSE
"CA2",NA,43536,"CA2","false",FALSE,FALSE
"CA9",NA,41156,"CA9","false",FALSE,FALSE
"CABP5",NA,44182,"CABP5","false",FALSE,FALSE
"CACYBP",NA,45278,"CACYBP","false",FALSE,FALSE
"CALM1",NA,41603,"CALM1","false",FALSE,FALSE
"CALR",NA,42843,"CALR","false",FALSE,FALSE
"CALU",NA,38529,"CALU","false",FALSE,FALSE
"CAMK2B",NA,43238,"CAMK2B","false",FALSE,FALSE
"CAMK2D",NA,44589,"CAMK2D","false",FALSE,FALSE
"CAMKK2",NA,38250,"CAMKK2","false",FALSE,FALSE
