GeneSymbol,GeneSymbol.1,INT
IFT20,WASF1,PPI
U2AF2,CPSF6,PPI
CUL4A,SCAF11,PPI
RNF2,LIMA1,PPI
BMI1,SCAF11,PPI
HCLS1,GRB2,PPI
HCLS1,ZBTB25,PPI
CUL2,LRRC14,PPI
RBX1,LRRC14,PPI
LRRC14,COPS4,PPI
LRRC14,ELOB,PPI
LRRC14,ELOC,PPI
SON,DIDO1,PPI
THRAP1,MED14,PPI
MED14,MED8,PPI
MED14,MED11,PPI
MED14,PPP6R1,PPI
MED14,CDK19,PPI
MED14,HECW2,PPI
PPARGC1A,MED14,PPI
MED14,MED6,PPI
NR2A1,MED14,PPI
MED14,ESR2,PPI
MED14,GATA1,PPI
EEF1A1,MYSM1,PPI
MED14,TRRAP,PPI
MED14,ZC3H13,PPI
MED14,QKI,PPI
MED7,MED14,PPI
MED14,MED24,PPI
MED14,DCTN1,PPI
MED14,SREBF1,PPI
CTDP1,MED14,PPI
SSBP1,CEP57,PPI
U2AF2,ZCCHC8,PPI
UBC,LRRC14,PPI
UCHL1,LAMP2,PPI
DDX21,IVNS1ABP,PPI
PML,KAT6A,PPI
CAPN3,FLNC,PPI
TP53,KAT6A,PPI
RUNX1,KAT6A,PPI
CDK2,FLNC,PPI
ALDH7A1,EPS8,PPI
BTK,CBLB,PPI
PSMD12,FLNC,PPI
SDHA,SAMM50,PPI
SFPQ,DDX21,PPI
OAT,MRPL58,PPI
RANBP2,EIF3E,PPI
TRIM21,TRIM5,PPI
FTH1,CEP57,PPI
STAG2,SRRM2,PPI
DCTN1,FLNC,PPI
MOGS,CEP57,PPI
YWHAB,LIMA1,PPI
UPF1,TMX1,PPI
PSMA3,EEF1A1,PPI
CDK12,SRRM2,PPI
EEF1A1,SRRM2,PPI
PPP4R2,SRRM2,PPI
NPLOC4,UBXN7,PPI
UBXN7,UBE2B,PPI
HSPA4,KAT6A,PPI
PRKCG,TRIM5,PPI
SNU13,STAG2,PPI
RPS19,EEF1A1,PPI
HCLS1,MAP4K1,PPI
FLNC,ARFGEF2,PPI
MAGEA2,CEP57,PPI
EIF3E,USP20,PPI
FLNC,NCAPD2,PPI
EIF3E,PSMC6,PPI
TXN2,SHARPIN,PPI
FOXO4,REL,PPI
PLOD2,GART,PPI
HNMT,TERF1,PPI
SOCS3,REL,PPI
CENPX,REL,PPI
CLN3,SAMM50,PPI
U2SURP,RPA2,PPI
DEDD,APP,PPI
CFLAR,DEDD,PPI
SRSF10,CAND1,PPI
CAND1,BCLAF1,PPI
PLOD2,SAMHD1,PPI
BCLAF1,ZBTB1,PPI
LRRC47,PPP4R2,PPI
NPM1,FLNC,PPI
CMTM6,DUSP10,PPI
PLSCR1,GDPD5,PPI
HOXB6,TCEAL1,PPI
FLNC,DDB1,PPI
PPP1R12B,HSPA8,PPI
RPL23,CEP57,PPI
DDB1,CEP57,PPI
CHD1,HIST3H3,PPI
RSL1D1,DDX21,PPI
CHD1,BCLAF1,PPI
CPSF6,NUP88,PPI
SNRPA,EEF1A1,PPI
CHD1,CEBPA,PPI
TPP1,USP7,PPI
FLNC,NUP88,PPI
ARRB2,EEF1A1,PPI
TXNL1,EEF1A1,PPI
CUL4A,EEF1A1,PPI
EEF1A1,CUL5,PPI
EEF1A1,CUL2,PPI
CDK2,EEF1A1,PPI
HSP90AA1,EEF1A1,PPI
SHBG,EEF1A1,PPI
RPL30,EEF1A1,PPI
RPL9P7,EEF1A1,PPI
RPL31,EEF1A1,PPI
RPS24,EEF1A1,PPI
EEF1B2,EEF1A1,PPI
EEF1A1,EFTUD2,PPI
EEF1A1,PUF60,PPI
HNRPDL,EEF1A1,PPI
EEF1A1,PCBP2,PPI
EEF1A1,RBM4,PPI
MRPS7,EEF1A1,PPI
PSMB4,EEF1A1,PPI
EEF1A1,SUPT16H,PPI
ENO3,EEF1A1,PPI
UBD,EEF1A1,PPI
VCAM1,EEF1A1,PPI
UBL4A,EEF1A1,PPI
EEF1A1,AID,PPI
STAT6,EEF1A1,PPI
EEF1A1,PFKP,PPI
RPA3,EEF1A1,PPI
ALPL,EEF1A1,PPI
TP53,EEF1A1,PPI
EEF1A1,TUBGCP2,PPI
ISG15,EEF1A1,PPI
KIF1B,EEF1A1,PPI
EEF1A1,ITSN1,PPI
POLE2,EEF1A1,PPI
PQBP1,EEF1A1,PPI
FAS,EEF1A1,PPI
NR4A1,EEF1A1,PPI
EEF1A1,KMT5C,PPI
AGO3,EEF1A1,PPI
MME,EEF1A1,PPI
EEF1A1,NEDD8,PPI
CASP2,EEF1A1,PPI
SNCA,EEF1A1,PPI
DIABLO,EEF1A1,PPI
KRAS,EEF1A1,PPI
ITGB1BP1,EEF1A1,PPI
GADD45A,EEF1A1,PPI
HSPC152,SRSF10,PPI
FLNC,TRIM54,PPI
EPHB6,REL,PPI
NEK9,NSMAF,PPI
NSMAF,MAP1LC3A,PPI
TRIP10,WASF1,PPI
NEDD4,CPSF6,PPI
EGFR,C6orf120,PPI
MINOS1,SAMM50,PPI
HIST1H4L,CEP57,PPI
