"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"10473","false","3.5125","1.054E-5","NA","0.28469751","0.33333333","false","3","5","false","EMD","EMD","52.33333333","3","0","0","0.4975","false","0","EMD","1558","0.36879433"
"10474","false","3.37555556","2.649E-4","NA","0.29624753","0.16666667","false","4","4","false","RPS3A","RPS3A","152.5","4","0","0","0.52488889","false","0","RPS3A","91720","0.28200371"
"10475","false","3.01666667","8.72E-4","NA","0.33149171","0.14285714","false","8","4","false","HDAC1","HDAC1","103.375","8","0","0","0.59666667","false","0","HDAC1","145270","0.14728959"
"10476","false","3.20388889","1.287E-4","NA","0.31212069","0.04761905","false","7","4","false","HIST3H3","HIST3H3","58.0","7","0","0","0.55922222","false","0","HIST3H3","19574","0.17518567"
"10477","false","3.13027778","2.3497E-4","NA","0.31946047","0.08333333","false","9","4","false","EED","EED","69.11111111","9","0","0","0.57394444","false","0","EED","57312","0.1474313"
"10478","false","3.24222222","5.514E-5","NA","0.30843043","0.0952381","false","7","4","false","RNF2","RNF2","50.28571429","7","0","0","0.55155556","false","0","RNF2","14832","0.18957089"
"10479","false","3.10083333","2.8106E-4","NA","0.32249395","0.05454545","false","11","4","false","BMI1","BMI1","51.36363636","11","0","0","0.57983333","false","0","BMI1","51646","0.12296882"
"10480","false","3.69222222","0.0","NA","0.2708396","0.0","false","1","5","false","POLR2I","POLR2I","83.0","1","0","0","0.46155556","false","0","POLR2I","0","0.0"
"10481","false","3.53694444","6.091E-5","NA","0.28272991","0.0","false","3","5","false","KAT2B","KAT2B","70.66666667","3","0","0","0.49261111","false","0","KAT2B","8240","0.3536379"
"10482","false","3.65472222","1.0E-6","NA","0.27361861","0.0","false","2","5","false","KIAA0368","KIAA0368","47.0","2","0","0","0.46905556","false","0","KIAA0368","132","0.53488372"
"10483","false","3.20722222","2.3327E-4","NA","0.31179629","0.0","false","4","4","false","KAT5","KAT5","122.5","4","0","0","0.55855556","false","0","KAT5","44168","0.26821192"
"10484","false","2.92111111","0.00457487","NA","0.34233549","0.06666667","false","15","4","false","YWHAE","YWHAE","84.2","15","0","0","0.61577778","false","0","YWHAE","593078","0.08420348"
"10485","false","3.36861111","1.3997E-4","NA","0.29685825","0.0","false","4","4","false","CFTR","CFTR","74.0","4","0","0","0.52627778","false","0","CFTR","16746","0.27037037"
"10486","false","2.69111111","0.00565735","NA","0.37159372","0.0995671","false","22","4","false","EGFR","EGFR","84.5","22","0","0","0.66177778","false","0","EGFR","788686","0.06503012"
"10487","false","3.54194444","8.18E-6","NA","0.2823308","0.0","false","2","5","false","ASB17","ASB17","84.5","2","0","0","0.49161111","false","0","ASB17","2012","0.53870968"
"10488","false","3.55","1.6242E-4","NA","0.28169014","0.0","false","3","4","false","IRS4","IRS4","88.0","3","0","0","0.49","false","0","IRS4","24862","0.348"
"10489","false","2.72333333","0.00474666","NA","0.36719706","0.06666667","false","21","4","false","TP53","TP53","78.95238095","21","0","0","0.65533333","false","0","TP53","598854","0.06631364"
"10490","false","2.79","0.001727","NA","0.35842294","0.07843137","false","18","4","false","SUMO1","SUMO1","84.55555556","18","0","0","0.642","false","0","SUMO1","398196","0.0783767"
"10491","false","3.5475","1.4391E-4","NA","0.28188865","0.0","false","3","4","false","MAP3K5","MAP3K5","103.66666667","3","0","0","0.4905","false","0","MAP3K5","29714","0.36023392"
