Gene.Symbol,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL
SLC35C2,34.3287841823636,31.6538428678066,31.0263498408613,20.0917487482111,31.5854871610615,23.0760278107303,41.0660467592309,31.7030913542211,36.5210806675037,34.1090818076192
GRIN2B,40.5380188489066,38.1849052942738,27.2011332700754,71.9385518773539,25.4875068833369,75.8910058357079,26.8524704376725,29.5084400684474,25.1201038298804,48.9152810136226
LOC101926975,9.53111121949465,8.15321646147959,8.68859291889251,7.14338952275504,12.4564345691245,6.76613462443437,14.8864473766687,10.0719452128059,8.8251959608731,8.15045281842365
ZNF556,29.1080717085712,31.2138393251603,30.8701945775513,15.9171257146863,34.2145539736184,24.7562362941633,39.8404472770517,30.4513235180398,34.9425757210086,25.2621498237632
FAM171B,12.7962473874996,9.13483917615518,11.4740385456638,8.47285808472477,12.0883668892333,8.69907017841767,14.1847691061762,15.3599874571427,11.7400231248628,13.3849415693474
TMEM11,32.4915517354308,36.9884500340896,36.6133678920434,55.5801587976861,34.6535220713245,44.3244728100981,34.0225664366698,33.7855106560625,29.2986147060579,34.9976241857489
CTNNB1,4.54070575269017,4.48368615697548,4.63706389654751,4.80591354399994,4.16496680941208,5.08769295487505,4.76977020004362,4.97116481615517,4.9326924779355,4.32389071232786
AK025975 ,12.5975915001718,14.2975635968684,16.2141015405702,9.59756131595456,10.9832536066047,15.1412766030483,18.9459531243606,13.0158065216108,13.7589943836347,14.9698610804273
CTD-2540F13.2,3.79358853426202,4.45168636337946,3.66504912424925,3.24746900368847,3.63753091719676,3.72324777343008,4.6211512720745,4.49807682033829,3.56459543476748,3.43426331310249
HSD17B1,5.02709159384481,6.8729207214645,5.39832853990399,5.81326030103513,4.9525037107657,4.73425892281252,7.14443412935289,5.49854253079644,5.7441765550275,4.60581443864855
MIR631 ,32.1436203688173,34.4985246871672,36.9913673199393,20.4842909771479,24.279343177065,18.0632448857402,49.680350495959,45.9681954773412,39.3185015913593,37.7635923281738
