Gene.Symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL
LY6G6D ,45.7680860192413,41.0746439824004,63.0206597135027,46.9748010497814,79.018494133833,48.4864883586794,44.8644841473765,40.2035666236851,41.5926966709914,43.447678798138,44.8648255496155,36.9218098694546,44.2286247292427,54.8470199272714,57.9165140721325,43.005203711799,40.2328071773364,44.5165393721379
ADAMTS1,316.057456504085,512.974369682981,110.338945671335,113.948915858339,824.274970875785,439.926141418901,149.755513865324,154.083055599041,208.820486095367,678.298768884649,211.455692474803,741.945629274927,570.380181997844,225.860543671788,467.223284528174,142.292399680712,265.191969692135,1146.30169550857
UTP20,60.0578524637939,50.620099888625,74.6050879655277,53.7871291263181,60.2231458694541,55.0104663063626,53.605454560962,53.8029642883598,47.554456314926,53.0023782601753,45.1323243855165,51.8602938640528,60.5330713757704,60.7316648747779,62.4753538479825,52.1145808115531,50.5567592404528,50.5932409944101
FOXRED2,100.374802523551,109.313532630231,126.144867878149,181.263708938034,132.687758791753,138.356347944011,176.682037989564,224.088761549788,102.413607690174,194.892790980941,228.278205814094,163.487582970034,114.527860910289,167.260401456544,175.308425158083,276.738404785914,191.79917951202,143.817254467674
SLC22A13,56.3530927640957,52.4331935418234,61.1789342959682,45.6663976502672,45.6709466310864,52.8953300631824,47.5488103768964,44.2389780537184,40.4383083991943,41.4638475604073,36.5432191377946,46.501187270953,50.0230166821141,60.9617517548245,50.5930654767978,40.927816655651,42.5533179403931,57.0507113049426
MORF4L1,375.160396804171,807.220281747234,338.737045755141,1123.9349101867,328.151203503333,772.195452155516,700.888259375503,977.58420106225,644.295326423723,875.706553348785,869.608699106941,1015.92350325053,924.42127439588,406.509369858363,480.612608350278,865.113089541734,1175.45555091749,807.220281747234
HGSNAT,175.254376859771,241.403329193958,136.433875107159,251.922471144973,188.035259027341,202.506396537223,314.008272407386,355.625109510883,341.70779119751,275.241477165916,222.91364177127,291.478574401182,230.210845226509,193.591569854848,235.913801964778,265.84827203619,437.835234132063,200.791281789604
CRADD,123.552814994646,122.261909058957,81.9884953675528,135.971000665388,103.831340241727,140.228950294483,143.829129346815,158.020402940698,135.644419688675,156.065741378925,130.6003239093,128.426300017832,142.099906566154,129.706244154073,144.972666298951,162.559895620308,116.675730656841,124.211353820865
MAD2L1,35.5895829058913,29.3217977317967,27.312199009689,55.301955411777,32.5152486554499,28.819923244938,41.7900624732949,41.471721643014,31.1284198839996,40.0408711141236,54.0052995585864,55.8290375172618,60.4708661859908,26.2884351060783,25.1182602295399,52.6486640139688,63.8858959127079,35.8984507999353
CDC45,49.1141228405218,43.6039508740704,64.203285727199,46.0669032520864,56.5472882316965,50.1392544584783,47.4066835072085,44.5876999573246,35.3847125372095,38.5592551065495,49.0957843171966,39.7330684504103,39.9653932711854,52.2393658393025,59.0173747549132,55.4701601860339,44.9862882203027,45.2457463876707
ZDHHC3,39.037561145404,75.6938352244115,57.502743345967,56.5639862195074,45.1743014335102,52.0114471604042,43.7981341385593,55.4008192097197,49.4221643904524,45.3758991101369,58.9046387095468,48.9527191344599,49.316052168762,43.142136065084,48.7167812877758,48.1293717941445,45.3511021895248,39.4313576414217
