GeneSymbol,GeneSymbol.1,INT
KPNA2,CSNK1A1,PPI
NUP50,KPNA2,PPI
PLAG1,KPNA2,PPI
KPNA2,RELA,PPI
KPNA2,ARL5A,PPI
KPNA2,CDT1,PPI
KPNA2,MEPCE,PPI
HNRNPH1,KPNA2,PPI
CDK9,KPNA2,PPI
KPNA2,GPN1,PPI
MLH1,KPNA2,PPI
KPNA2,TERF1,PPI
CTCF,KPNA2,PPI
SIRT1,KPNA2,PPI
RECQL,KPNA2,PPI
GRB2,SNX18,PPI
ACTL6A,CBX5,PPI
MYC,TAF10,PPI
NCK1,GRB2,PPI
IFIT3,SNRPE,PPI
RPL31,RPL8,PPI
CBX5,ZNF274,PPI
CBX5,CHD4,PPI
TERF1,TOMM34,PPI
RNF130,UBE2Z,PPI
CALU,EMC1,PPI
UNK,UCHL3,PPI
FLOT1,EMC1,PPI
BAG3,GLRX2,PPI
EMC8,EMC1,PPI
VDAC2,EMC1,PPI
UBAC2,EMC1,PPI
TSC22D1,EMC1,PPI
RB1,CBX5,PPI
RPS23,RPL31,PPI
MGC2749,HAUS1,PPI
DCP2,TRMT2A,PPI
SS18,GRB2,PPI
BAG3,UBE2Z,PPI
RPS26,RPL31,PPI
SNRNP200,GRB2,PPI
FHL2,TRIM55,PPI
GRB2,UBR4,PPI
SLC25A5,GRB2,PPI
KPNA2,PNMA5,PPI
ATAD2,MYC,PPI
DYNC1H1,SERBP1,PPI
UCHL3,TRIM63,PPI
UCHL3,USP21,PPI
UCHL3,USP15,PPI
UCHL3,ZFYVE19,PPI
UBQLN1,UCHL3,PPI
ZRANB2,UCHL3,PPI
UCHL3,PCMT1,PPI
UCHL3,DKFZp451O0517,PPI
UCHL3,TTC1,PPI
GRB2,PPP2R2A,PPI
GART,CCDC8,PPI
TERF1,DDX21,PPI
DES,TRIM55,PPI
