"SrNo","V1","V2"
38828,"P62899","Q6IB29"
38829,"O43143","P62899"
38830,"P38159","P62899"
38831,"P09913","P62899"
38832,"P11441","P62899"
38833,"P05362","P62899"
38834,"P62899","Q99678"
38835,"P62899","Q8TAP6"
38836,"P04637","P62899"
38837,"P62899","Q96CW5"
38838,"P62899","Q9UHQ7"
38839,"A0A024R7G4","P62899"
38840,"P62899","Q15843"
38850,"P62993","Q9NXR7"
38928,"A0A024RA33","P54274"
38947,"P62993","Q96J84"
39115,"A0A024R1S8","P54274"
39235,"Q15797","Q9H0M0"
39430,"O14964","Q15797"
39431,"P04637","Q15797"
39433,"O15021","Q15797"
39434,"O60315","Q15797"
39435,"Q15797","Q6IQ50"
39436,"Q15797","Q99460"
39437,"Q15797","Q9ULH7"
39438,"A0A024RDV4","Q15797"
39439,"Q15797","Q9Y692"
39440,"Q15797","Q96KM6"
39455,"Q15797","Q9UJU2"
39457,"Q15797","Q9H2X6"
39458,"P37275","Q15797"
39459,"O14640","Q15797"
39465,"Q15797","Q9UGU0"
39467,"O75448","Q15797"
39469,"P52926","Q15797"
39471,"P12757","Q15797"
39472,"Q15797","Q9GZQ5"
39473,"P46934","Q15797"
39475,"P50613","Q15797"
39477,"P28482","Q15797"
39478,"P49336","Q15797"
39480,"Q15797","Q86T74"
39535,"P45973","Q13547"
39596,"Q13547","Q15797"
39665,"A0A024RBB7","P62899"
39799,"P62993","Q13094"
39992,"A0A024RB77","P52292"
39995,"P52292","P54257"
39996,"P52292","Q86T24"
40000,"P52292","P52739"
40005,"O15205","P52292"
40006,"P05067","P52292"
40027,"P52292","P62826"
40029,"P52292","Q16790"
40038,"P06454","P52292"
40040,"A0A024R525","P52292"
40041,"P52292","Q96JB5"
40043,"P35638","P52292"
40044,"P22102","P52292"
40045,"P05412","P52292"
40046,"P05787","P52292"
40047,"A0A024R319","P52292"
40048,"P52292","Q13077"
40049,"P52292","Q14149"
40050,"P52292","Q9P2G1"
40051,"P52292","Q9NSK0"
40052,"O43707","P52292"
40053,"P52292","Q9UQ88"
40055,"P52292","Q4LE36"
40056,"P52292","Q9BT78"
40057,"A0A024RD80","P52292"
40069,"P52292","P63010"
40070,"P52292","Q9Y5V3"
40071,"B4E3T4","P52292"
40072,"P52292","Q9BYV2"
40073,"P52292","Q9BRK4"
40076,"P41238","P52292"
40080,"P52292","Q08881"
40081,"P52292","Q6PJ06"
40082,"A0A024R4X7","P52292"
40084,"A0A024R7Z0","P52292"
40086,"P52292","Q04206"
40087,"P52292","Q9Y689"
40089,"P52292","Q9H211"
40092,"P52292","Q7L2J0"
40093,"P31943","P52292"
40095,"A0A024R880","P52292"
40096,"P52292","Q9HCN4"
40098,"P40692","P52292"
40100,"P52292","P54274"
40101,"P49711","P52292"
40104,"B0QZ35","P52292"
40109,"A0A024RAV2","P52292"
40145,"P62993","Q96RF0"
40148,"O96019","P45973"
