"SrNo","V1","V2"
114194,"P63146","Q13432"
114196,"A0A024R776","P63146"
114274,"P14136","P49768"
114275,"P14136","P23297"
114276,"P14136","Q5T2W1"
114277,"O75791","P14136"
114278,"P14136","Q9NR12"
114279,"P14136","Q8TAP6"
114280,"P14136","Q96HL8"
114892,"P51532","Q9NZZ3"
114928,"P05230","P22455"
114938,"O15344","Q9UJV3"
115022,"A0A024R7L5","Q9H1J1"
115024,"Q96Q15","Q9H1J1"
115025,"Q9H1J1","Q9UBU9"
115026,"A0A023T787","Q9H1J1"
115027,"Q01629","Q9H1J1"
115056,"P19174","P68104"
115057,"P68104","Q03405"
115058,"P04278","P68104"
115059,"A0A024RBB5","P68104"
115068,"P68104","Q13310"
115069,"O75312","P68104"
115077,"P68104","Q15013"
115079,"P68104","Q13625"
115266,"P17676","P27361"
115483,"A0A024R778","O60443"
115595,"Q8WUY3","Q96D15"
115646,"P13693","P68104"
115825,"P05230","P22607"
115981,"P17676","Q01196"
116025,"P05230","P21802"
116362,"P68104","Q16363"
116577,"P68104","Q15811"
116601,"P24863","Q00526"
116606,"Q00526","Q01094"
116610,"O00716","Q00526"
116624,"B4DGU4","Q9UQB3"
116625,"A0A024RC42","Q9UQB3"
116626,"Q53ZR5","Q9UQB3"
116628,"A0A024R5M3","Q9UQB3"
116629,"P43629","Q00526"
116633,"Q00526","Q9BTV7"
116636,"A0A024RC20","Q00526"
116751,"P15559","Q9UK53"
117418,"P14136","Q13464"
117667,"O60729","P04637"
117738,"P62070","Q12967"
117818,"O95639","P27448"
117980,"P21397","Q92597"
118049,"A0A024RBG3","P68104"
118214,"Q9H422","Q9NYA4"
118300,"O94972","O95990"
118301,"O95990","Q9BUH8"
118303,"P55039","Q9H446"
118306,"A0A024R7H3","O95990"
118560,"P11166","P27105"
118561,"O95990","P08727"
118802,"P49715","P49716"
118808,"A0A024RDV3","P49716"
118819,"P49716","Q15744"
118916,"P16220","P17676"
118989,"P63146","Q14194"
119006,"O60504","Q8TDM6"
119009,"O60828","P68104"
119108,"P49888","P68104"
119550,"O15344","P62714"
119583,"O43813","P27105"
119729,"O95990","Q9Y2I6"
119872,"P60604","Q8IWT3"
120088,"A0A024RCB7","Q8TDM6"
120261,"P49716","Q04206"
120351,"P25445","P68104"
120517,"O95990","Q96ED9"
120696,"P42345","Q13131"
120697,"A0A024R730","Q13131"
120703,"A0A024R426","Q13131"
