"SrNo","V1","V2"
92767,"Q14997","Q9P0V9"
93002,"P12270","Q9UKV0"
93271,"O75182","Q15014"
93572,"P00540","Q9NSC5"
93616,"F6KD01","Q969H0"
93901,"Q16849","Q9H254"
94134,"O14682","P07900"
94137,"Q14934","Q99680"
94138,"Q92754","Q99680"
94426,"P13473","Q00987"
94505,"A0A024R475","O14682"
95163,"A0A024RB77","P05090"
95271,"A0A024QZU0","O15519"
95569,"P28068","P28347"
96062,"A0A024R184","Q14289"
96080,"Q96FJ2","Q9UPX8"
96297,"P51811","Q9BX69"
96419,"O15519","Q9NT62"
96498,"A0A024QZ12","Q9UPX8"
96580,"Q92522","Q9UKV0"
96624,"P35658","Q9UKV0"
96711,"Q6MZF9","Q93050"
96917,"Q05586","Q8TBB1"
96919,"A0A0A0MS52","Q05586"
97527,"P09661","P13473"
97530,"P13473","Q09028"
97532,"A8K379","P13473"
97533,"P13473","Q86W42"
97535,"H6UYS5","P13473"
97721,"Q71SY5","Q96PU8"
97850,"O14682","Q16236"
97914,"P60709","Q969V6"
98080,"P13473","Q8N2W9"
98373,"P05067","Q9H7X2"
99752,"Q70SY1","Q969H0"
99885,"O60307","P54646"
100126,"Q93050","Q9H2W6"
100309,"P14598","P17600"
100319,"A0A024R1Z1","Q969H0"
100817,"A0A024RA52","Q969H0"
100887,"A0A024RA52","Q9NSC5"
101267,"O43251","Q15038"
101397,"Q969H0","Q9UBI4"
101919,"Q05586","Q13224"
101969,"O15519","Q13114"
102247,"O75182","Q5VTB9"
102251,"D0PNI1","Q9HBL0"
102294,"Q969V6","Q9Y4C1"
102336,"P57052","Q96PU8"
102509,"Q6A162","Q9P1A6"
103004,"Q9C0C9","Q9Y3C5"
103042,"O15519","P07900"
103142,"Q13490","Q96CJ1"
103286,"L7RRS6","O15519"
103475,"Q96CJ1","Q9UHB7"
103492,"Q8N163","Q9UKV0"
103745,"P0CG48","Q14119"
103783,"Q969H0","Q96SD1"
103806,"A0A024R4E9","O43251"
104101,"Q96ST3","Q9UKV0"
104114,"A1L167","Q969H0"
104242,"O75182","P51610"
104272,"P56945","Q9HBL0"
104288,"O75152","Q9UKV0"
104437,"O94818","Q13363"
104438,"O94818","P56545"
104467,"Q7Z2E3","Q9H2G4"
104983,"P62306","Q9NSC5"
104998,"O14543","Q14289"
105284,"O15519","Q9UNE7"
105363,"O95147","Q9NPH2"
105572,"Q9C0C9","Q9NRC8"
105840,"A0A024R3T8","Q9UKV0"
105885,"O14578","Q9P2P5"
105913,"Q9C0C9","Q9H7D7"
105936,"Q13077","Q9C0C9"
106112,"A0A024R8H5","Q9C0C9"
106113,"Q13114","Q9C0C9"
106114,"O15105","Q9C0C9"
106118,"Q9NQ86","Q9Y228"
106133,"Q96T60","Q9C0C9"
106210,"O60264","Q9NRL2"
106224,"Q05586","Q13009"
106614,"Q96QB1","Q9HBL0"
106851,"O15105","Q96PU5"
106997,"P17542","Q9BWW4"
107233,"A0A024RAE4","Q9UQB8"
107382,"O43679","Q969G2"
107384,"O43679","P81877"
107385,"O43679","Q96NA2"
107399,"O43679","Q13363"
107400,"O43679","P38398"
107401,"O43679","P61968"
107621,"Q03135","Q6NZI2"
107880,"P28223","Q14416"
107994,"Q00653","Q969H0"
108093,"P46531","Q969H0"
108107,"Q9UHR4","Q9UPX8"
108167,"A0A024RAT1","O43679"
108168,"O43679","Q5U651"
108169,"O43679","Q9BWW4"
108170,"O43679","Q9BWW4"
108171,"O43679","Q9BWW4"
108172,"A0A024R3V8","O43679"
108248,"P49281","Q96PU5"
108287,"A0A024R5Z3","Q96PU5"
108304,"Q12929","Q9UQB8"
108529,"P28223","Q15165"
108531,"O95810","Q6NZI2"
108532,"Q6NZI2","Q969G5"
108601,"P28223","Q16288"
109163,"Q14289","Q14511"
109213,"Q86U70","Q9BWW4"
109221,"Q13332","Q16849"
109619,"O75914","P16333"
109620,"O75914","Q15052"
109621,"O75914","Q9UM54"
109824,"O14578","Q9NRI5"
109846,"O14910","Q9UQB8"
109847,"Q9UQB8","Q9Y566"
109848,"A0A024RAE4","Q9UQB8"
