GeneSymbol,GeneSymbol.1,INT
TCEA2,EAF2,PPI
RYR1,HOMER3,PPI
LRIF1,CRCT1,PPI
FLT1,PTK2B,PPI
MATK,PTK2B,PPI
YWHAB,RGS7,PPI
RBFOX2,RERE,PPI
LRIF1,SPG7,PPI
MYH7,TEAD1,PPI
GRM7,GRIPAP1,PPI
CRADD,LRIF1,PPI
PSG9,LRIF1,PPI
PSMD2,LRIF1,PPI
GC,LRIF1,PPI
LRIF1,POLR3F,PPI
CDC42,LRIF1,PPI
RAB27A,LRIF1,PPI
LRIF1,RIT1,PPI
LRIF1,CCDC106,PPI
PAFAH1B3,LRIF1,PPI
AKR1C3,LRIF1,PPI
HMOX2,LRIF1,PPI
RPA2,LRIF1,PPI
HSPB1,LRIF1,PPI
ERBB3,PTK2B,PPI
CTBP1,HDAC9,PPI
SUMO2,HDAC9,PPI
CBX5,HDAC9,PPI
ARHGEF7,PAK3,PPI
