"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"DMRT3","DMRT3",0.435861800219751,"DMRT3",0.998885149933047,TRUE
"ZNF169","ZNF169",0.826259800101303,"ZNF169",0.984820341448728,TRUE
"CCDC180","",NA,"",NA,TRUE
"ANKS6","ANKS6",0.707633530017304,"ANKS6",0.920217333265213,TRUE
"ACCSL","ACCSL",0.569676358371639,"",NA,TRUE
"MYBPC3","MYBPC3",0.0298460434841082,"MYBPC3",0.997502837529691,TRUE
"MRPL16","MRPL16",0.704727938385298,"MRPL16",0.326001907711176,TRUE
"TPCN2","TPCN2",0.998037705857807,"TPCN2",0.277838569426174,TRUE
"TRIM49C","",NA,"",NA,TRUE
"PDGFD","PDGFD",0.236696066803608,"PDGFD",0.194565572450838,TRUE
"PPP2R1B","PPP2R1B",0.249842365069442,"PPP2R1B",0.13679544604202,TRUE
"SLC2A3","SLC2A3",0.141544822557747,"SLC2A3",0.0205791764542884,TRUE
"PRB4","PRB4",0.149793793448981,"",NA,TRUE
"SSPN","SSPN",0.232382831389761,"SSPN",0.54100463042069,TRUE
"ADAMTS20","ADAMTS20",0.421120913893894,"ADAMTS20",0.971633275909999,TRUE
"RASAL1","RASAL1",0.0308015800174345,"RASAL1",0.998608367921269,TRUE
"LRRC16B","LRRC16B",0.0206088652882845,"LRRC16B",0.993942389150587,TRUE
"HERC1","HERC1",0.18644580781375,"HERC1",0.0177238387569892,TRUE
"FSD2","FSD2",0.998037705857807,"FSD2",0.763585765628803,TRUE
"GRIN2A","GRIN2A",0.0244170212297807,"GRIN2A",0.969739854220462,TRUE
"NPIPB5","",NA,"",NA,TRUE
"DCTPP1","DCTPP1",0.778787819712325,"DCTPP1",0.642652209489702,TRUE
"MT1F","MT1F",0.546471576178796,"MT1F",0.512501689301953,TRUE
"CNGB1","CNGB1",0.139096801116117,"CNGB1",0.991172463987728,TRUE
"HYDIN","HYDIN",0.32603573420582,"HYDIN",0.98157030691846,TRUE
"PTPRS","PTPRS",0.0167866972030647,"PTPRS",0.980792496006216,TRUE
"ICAM4","ICAM4",0.0011346732198479,"ICAM4",0.883295172056549,TRUE
"OR7C2","OR7C2",0.890056193911476,"OR7C2",0.945827587824291,TRUE
"CEACAM21","CEACAM21",0.594141888520798,"CEACAM21",0.000273138655646197,TRUE
"CEACAM1","CEACAM1",0.00737029771181222,"CEACAM1",0.430233061084724,TRUE
"ZNF229","ZNF229",0.997288693530873,"ZNF229",0.295089240325624,TRUE
"KCNA7","KCNA7",0.168972494685309,"KCNA7",0.869807335585199,TRUE
"HRC","HRC",0.11788205717845,"HRC",0.990576469401928,TRUE
"ALDH16A1","ALDH16A1",0.149532406700118,"ALDH16A1",0.993741371307059,TRUE
"MYH14","MYH14",0.00593177544979755,"MYH14",0.994710244564828,TRUE
"ZNF321P","ZNF321P",0.998037705857807,"ZNF321P",0.0468552019459309,TRUE
"KIR2DL1","KIR2DL1",4.1846736840084e-05,"KIR2DL1",0.975521182779828,TRUE
"KIR2DL4","KIR2DL4",0.000707322791964572,"KIR2DL4",0.999157863748881,TRUE
"LAMA5","LAMA5",0.180248458611289,"LAMA5",0.992519151662171,TRUE
"TMPRSS15","TMPRSS15",0.478661071228898,"TMPRSS15",0.993935575253776,TRUE
"BRWD1","BRWD1",0.554636196454525,"BRWD1",0.140691367334356,TRUE
"ZNF70","ZNF70",0.973781064480943,"ZNF70",0.36044813102611,TRUE
"KIAA1671","KIAA1671",0.9827447486265,"KIAA1671",0.998845835517747,TRUE
"MYO18B","MYO18B",0.249575632878435,"MYO18B",0.97096853066589,TRUE
"HPS4","HPS4",0.20720695966049,"HPS4",0.000531821461891076,TRUE
"EWSR1","EWSR1",0.0232079133135772,"EWSR1",0.44255963937321,TRUE
