ensembl_gene_id,hgnc_symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL
ENSG00000156298,TSPAN7,3893.04258,4228.865252,2591.448241,4338.479748,3698.4219,3020.088266,4561.978008,5609.819062
ENSG00000253352,TUG1,292.471871,241.4164928,280.0000771,201.5794992,199.053785,260.3215642,262.0684849,244.986246
ENSG00000185651,UBE2L3,554.5143904,445.4156675,350.6926892,612.217364,435.0366318,397.2639793,566.4252479,437.5471621
ENSG00000132549,VPS13B,217.7367659,90.50184005,78.61686262,153.769548,79.82770914,91.62441678,137.9170728,208.3378517
ENSG00000184575,XPOT,513.4191736,416.8681755,338.1826985,296.1337415,299.5808095,389.960554,350.4508394,371.6720867
ENSG00000119596,YLPM1,378.5289328,309.3672469,245.1965037,382.5275868,279.8760224,401.728011,368.9731814,388.2721407
ENSG00000136758,YME1L1,352.2932814,396.6130076,123.4654811,270.1854349,160.4936812,500.2360148,240.7444157,291.7399955
ENSG00000128016,ZFP36,254.5545928,744.1794304,248.3776222,196.046301,1330.954911,777.4675232,289.7295344,182.6972118
ENSG00000072121,ZFYVE26,133.9198059,134.2471317,149.5802956,108.3195481,101.5426523,73.0171633,138.3368,131.852417
ENSG00000015171,ZMYND11,2150.721157,1403.757977,2370.369234,1586.524993,1873.086427,1443.373207,1877.175421,1527.218334
ENSG00000172466,ZNF24,558.3000508,373.370278,551.5144909,353.585201,521.3980322,576.5997919,436.6506931,313.540858
ENSG00000198039,ZNF273,31.36750205,24.88922519,21.67821203,24.40673701,21.60601516,35.7488618,27.96855626,25.73900048
ENSG00000081665,ZNF506,84.5809237,60.75800733,77.41866594,76.43374377,70.37424314,79.20562344,66.62865954,64.79733391
ENSG00000177853,ZNF518A,51.13161163,20.07673154,22.2798314,22.54296381,28.21393183,19.37291654,24.2297512,26.75228959
